JobId,SkillId
1898909,704591
1898909,941661
1898909,3008
1898909,1228
1898909,988487
1898903,23785
1898903,67
1898903,224
1898903,1024444
1898903,704156
1899109,92
1899109,8361
1899109,110361
1899109,50672
1899109,1011758
1898350,785
1898350,627098
1898350,358
1898350,1115783
1898350,1685
1884204,14507
1884204,1820
1884204,161238
1884204,97630
1884204,654785
1900810,366878
1900810,29314
1900810,1011378
1900810,17832
1900810,7034
1899083,7409
1899083,654784
1899083,75009
1899083,78
1899083,921356
1897655,999804
1897655,899257
1897655,339393
1897655,3252
1897655,24196
1897666,566
1897666,124
1897666,1120004
1897666,785991
1897666,190275
1897671,75283
1897671,698
1897671,988693
1897671,33388
1897671,1924
1897705,75000
1897705,890
1897705,1011392
1897705,185
1897705,1089662
1898888,464943
1898888,24645
1898888,435781
1898888,1069291
1898888,987777
1881891,100388
1881891,1673
1881891,41255
1881891,127091
1881891,35936
1896428,601995
1896428,28201
1896428,704591
1896428,720988
1896428,22616
1896484,20439
1896484,3268
1896484,3064
1896484,1058697
1896484,1093550
1896484,753683
1877031,2139
1877031,1081
1877031,84
1877031,422566
1877031,75506
1885783,1467
1885783,580201
1885783,884
1885783,37313
1885783,989963
1899334,9479
1899334,17331
1899334,33810
1899334,2384
1899001,721458
1899001,5
1899001,1318
1899001,988829
1899001,19896
1899042,80
1899042,710
1899042,1027826
1899042,339
1899042,1016086
1884588,992675
1884588,1685
1884588,1030994
1884588,704591
1884588,1652
1885518,988487
1885518,19593
1885518,460055
1885518,989644
1899040,328321
1899040,2816
1899040,408310
1899040,33468
1899040,711708
1898991,721019
1898991,28126
1898991,298
1898991,281
1898991,785
1899073,3234
1899073,1036396
1899073,980
1899073,899439
1899073,721019
1884592,22951
1884592,75407
1884592,2705
1884592,235850
1884592,809
1897657,704591
1897657,987697
1897657,750424
1897657,1016536
1902299,1081
1902299,246043
1902299,1086387
1902299,38534
1902299,671713
1907173,476622
1907173,1870
1907173,326119
1907173,5812
1907173,8677
1891977,810
1891977,627
1891977,80
1891977,1004187
1891977,4949
1892350,2157
1892350,989908
1892350,512
1892350,610
1892350,121
1890837,1009399
1890837,478011
1890837,286
1890837,98
1890837,75026
1906533,160716
1906533,9394
1906533,391585
1906533,67
1907165,987913
1907165,12293
1907165,1018202
1907165,1027655
1907165,1038626
1907165,1048702
1907165,1024263
1907171,84
1907171,913466
1907171,121
1907171,67
1907171,224
1907182,540
1907182,8194
1907182,911879
1907182,80710
1907182,1231597
1890196,1652
1890196,1576
1890196,334935
1890196,1010762
1890196,1441
1907177,286
1907177,1026749
1907177,1889
1907177,3438
1907177,704912
1907176,1395
1907176,409460
1907176,105
1907176,609
1907176,968
1907153,332217
1907153,129989
1907153,1435
1907153,2254
1907153,741481
1907163,1010771
1907163,102304
1907163,2297
1907163,5
1907163,8150
1891742,991216
1891742,988036
1891742,1033006
1891742,116906
1891742,785
1907167,156319
1907167,124
1907167,26603
1907167,224
1907167,1012692
1905556,16030
1905556,109
1905556,6237
1905556,1162197
1905556,44417
1907152,987777
1907152,84
1907152,354
1907152,1013739
1907152,990294
1907159,1011758
1907159,1025502
1907159,78
1907159,224
1907159,988998
1907057,9044
1907057,1006
1907057,3234
1907057,979
1907057,990467
1907059,980
1907059,75009
1907059,3234
1907059,75323
1907059,33468
1907121,20439
1907121,806
1907121,1231530
1907121,15900
1907121,1821
1906519,80
1906519,877
1906519,47978
1906519,17750
1906519,1012117
1902320,460257
1902320,487165
1902320,459237
1902320,379463
1896449,609962
1896449,155634
1896449,1025131
1896449,32926
1896449,58825
1899068,4015
1899068,886905
1899068,21192
1899068,14186
1899068,578
1907139,987989
1907139,677
1907139,721893
1907139,3605
1907139,1026854
1907139,1035716
1907134,2905
1907134,100
1907134,993623
1907134,992881
1879730,98
1879730,102304
1879730,824542
1879730,1066653
1879730,603391
1898162,17584
1898162,1248
1898162,3724
1898162,1013380
1898162,1191679
1900736,3724
1900736,1185828
1900736,994964
1900736,994900
1900736,1065089
1898266,161
1898266,1048245
1898266,21192
1898266,111960
1898266,1051202
1888466,14867
1888466,119264
1888466,204342
1888466,38571
1888466,224
1888468,774691
1888468,620991
1888468,320657
1888468,18632
1888468,117920
1899671,17750
1899671,1924
1899671,3582
1899671,92
1899671,566
1904145,86431
1904145,77843
1904145,100
1904145,721226
1904145,197
1904252,9136
1904252,682
1904252,389
1904252,127822
1901891,784884
1901891,1176049
1901891,1220700
1901891,7501
1901891,137181
1906222,12383
1906222,988105
1906222,988104
1906222,75009
1906222,540
1906277,354070
1906277,40773
1906277,1024896
1906277,680
1906277,31877
1906291,1013691
1906291,989313
1906291,1048
1906291,989100
1906291,1982
1906282,1011801
1906282,1652
1906282,1000073
1906282,487
1906282,987690
1906285,2944
1906285,111455
1906285,1092206
1906285,413385
1906285,19480
1906289,13432
1906289,740639
1906289,138495
1906289,24011
1906289,111
1904686,358
1904686,1152659
1904686,84
1904686,1010762
1904686,4382
1904634,354
1904634,988693
1904634,1287
1904634,1010762
1904634,1024347
1904691,354
1904691,1152659
1904691,84
1904691,1010762
1904691,1652
1904682,354
1904682,988693
1904682,84
1904682,1010762
1904682,1024347
1904622,1152659
1904622,1010762
1904622,12711
1904622,993241
1904622,1652
