JobId,IndustryId
1898909,46
1898903,46
1899109,9
1898350,9
1884204,26
1900810,5
1899083,13
1897655,9
1897666,9
1897671,9
1897705,49
1898888,24
1881891,40
1896428,34
1896484,30
1877031,25
1885783,30
1899334,42
1899001,30
1899042,31
1884588,30
1885518,2
1899040,16
1898991,32
1899073,30
1884592,31
1897657,25
1902299,25
1907173,46
1891977,16
1892350,30
1890837,25
1906533,44
1907165,44
1907171,47
1907182,15
1890196,9
1907177,25
1907176,13
1907153,31
1907163,25
1891742,40
1907167,25
1905556,20
1907152,8
1907159,25
1907057,31
1907059,31
1907121,20
1906519,42
1902320,12
1896449,9
1899068,19
1907139,30
1907134,30
1879730,25
1898162,42
1900736,25
1898266,20
1888466,46
1888468,46
1899671,9
1904145,30
1904252,30
1901891,19
1906222,42
1906277,9
1906291,18
1906282,9
1906285,42
1906289,9
1904686,9
1904634,9
1904691,9
1904682,9
1904622,9
1904639,9
1904651,9
1904660,9
1904670,19
1904674,9
1904678,9
1904022,7
1904032,8
1904129,16
1903037,25
1884929,30
1889094,30
1900235,40
1900749,30
1903696,30
1902277,16
1902282,30
1902169,9
1902224,42
1902264,30
1901894,9
1901899,19
1901902,9
1901895,19
1901901,19
1901903,19
1901892,9
1901896,9
1901900,9
1896627,42
1902194,16
1897437,16
1896974,9
1897068,16
1896996,25
1884477,30
1885066,42
1894452,30
1896365,8
1885703,42
1885405,37
1897649,15
1899011,20
1899012,12
1898999,18
1899036,30
1898916,46
1898980,25
1898862,42
1883931,40
1898955,31
1899064,30
1885759,42
1905752,25
1905783,8
1892626,40
1907129,32
1907118,30
1907115,15
1907094,39
1907093,31
1907042,30
1906522,42
1907084,30
1892148,25
1907078,29
1907080,29
1907088,30
1889419,42
1903918,31
1898799,30
1898813,9
1907075,13
1907062,31
1890915,23
1907049,5
1907033,23
1907024,31
1907076,5
1907020,31
1906989,16
1896330,16
1896335,16
1895583,25
1883027,16
1904047,42
1903452,25
1904026,42
1904039,31
1898070,20
1898109,30
1898137,5
1898984,13
1885805,30
1898884,25
1870083,33
1898944,25
1898548,31
1898963,29
1898839,31
1898843,31
1898889,30
1898895,3
1898822,37
1898561,31
1900624,9
1900623,9
1900683,15
1900697,13
1900737,47
1900694,25
1900724,19
1900727,30
1898205,25
1902907,24
1889920,33
1904560,19
1902179,42
1889076,40
1887731,34
1902132,9
1906186,25
1906192,20
