CompanyId,CompanyName,CompanyLogo,Address
266137,Chi Nhánh Hà Nội - Công Ty TNHH Kiara Garments Việt Nam,https://images.vietnamworks.com/pictureofcompany/ce/11186625.png,"Tầng 9, tòa nhà IDMC Mỹ Đình, số 15 Phạm Hùng, phường Mỹ Đình 2, quận Nam Từ Liêm, TP Hà Nội"
241344,Ngân Hàng TMCP Phát Triển TP.HCM (HDBank),https://images.vietnamworks.com/pictureofcompany/9c/11157037.png,"Toà nhà HD - 25Bis Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, TP. HCM"
171670,Ngân Hàng TMCP Quốc Dân ( NCB ),https://images.vietnamworks.com/pictureofcompany/53/11260376.png,"25 Phố Lê Đại Hành, Hai Bà Trưng, Hà Nội"
7438,FUJIFILM Business Innovation Vietnam,https://images.vietnamworks.com/pictureofcompany/0d/11125990.png,"19th Floor, The Hallmark Building, 15 Tran Bach Dang, Thu Thiem Ward, Thu Duc City, Ho Chi Minh."
381552,Công Ty TNHH Earth Sustainable Việt Nam,https://images.vietnamworks.com/pictureofcompany/d4/11238088.png,"tầng 6, Tòa nhà Hồng Phúc, số 28-33, đường Phạm Ngọc Thạch,  phường Cái Khế , quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
157040,Công Ty Cổ Phần CPT GROUP,https://images.vietnamworks.com/pictureofcompany/d1/11158038.png,"Tầng 7, Tòa nhà Kim Ánh, số 1, ngõ 78 Duy Tân, Cầu Giấy, Hà Nội."
115453,Sacombank – Ngân Hàng TMCP Sài Gòn Thương Tín,https://images.vietnamworks.com/pictureofcompany/e3/11125741.png,"266-268 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, TP.Hồ Chí Minh"
249615,LG Electronics Development Vietnam Company Limited,https://images.vietnamworks.com/pictureofcompany/10/11366613.png,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"
292863,Infinity Financial Solutions Vietnam,https://images.vietnamworks.com/pictureofcompany/ce/10677577.png,"Coalimex Building, 901, 29-31 Dinh Bo Binh Street, Ward 14, Binh Thanh District, HCMC, Vietnam"
57662,Idico Corporation - JSC,https://images.vietnamworks.com/pictureofcompany/82/11362653.png,"Pearl Plaza Building, 561A Dien Bien Phu, Ward 25, Binh Thanh District, Ho Chi Minh City"
176863,Công Ty TNHH Nidp Dental Biotech Vietnam,https://images.vietnamworks.com/pictureofcompany/a8/11126464.png,"Số 407/8 đường Sư Vạn Hạnh, Phường 12, Quận 10"
90681,CÔNG TY TNHH FIT VOLTAIRA VIỆT NAM,https://images.vietnamworks.com/pictureofcompany/42/11268565.png,"Lô XN20, Khu CN Đại An, Km51 Quốc lộ 5A, P. Tứ Minh, TP. Hải Dương, Hải Dương"
389875,Công Ty Cổ Phần Lot,https://images.vietnamworks.com/pictureofcompany/05/11288966.png,"56 Quang Trung, Tăng Nhơn Phú B, quận 9, Thành phố Hồ Chí Minh"
355202,"Amkor Technology Vietnam Llc.,",https://images.vietnamworks.com/pictureofcompany/ca/11124541.png,"Yen Phong II-C IP, Cho Town, Yen Phong District, Bac Ninh, Viet Nam"
277195,Lotte Duty Free,https://images.vietnamworks.com/pictureofcompany/e4/10510648.png,"Tầng 11, 12 Tòa nhà Indochina, 74 Bạch Đằng, Hải Châu, Đà Nẵng"
